Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
374233,If on a Winter’s Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""""",3,4.01,L&OD Key Porter,Paperback,260,1982,1979,2026/01/05,2025/11/24,,,read,"<b>""One reads alone, even in another's presence.""</b><br/><br/>First read of 2026! A book that is, in principle, all about reading. I've never seen anything that experiments with the format of reading in this way, with fragments of stories within a story. Overall it was quite confusing to the point of needing to Google quick plot summaries, but I respect Calvino for the sheer creativity and craziness he poured into this book. It did confuse me to the brink of frustration and I only finished it out of stubbornness, but overall this was a crazy experiment within the vessel of language that I don't regret picking up.<br/><br/>-------------------------------------------------<br/><i><br/>You're the sort of person who, on principle, no longer expects anything of anything.<br/><br/>The world is so complicated, tangled, and overloaded that to see into it with any clarity you must prune and prune.<br/></i>",,,1,0
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",0,4.53,Vintage Books,Paperback,1246,1975,1974,,2021/08/01,"to-read, tr-hopefully-soon","to-read (#118), tr-hopefully-soon (#31)",to-read,,,,0,0
428,Play It As It Lays,Joan Didion,"Didion, Joan",,"=""0374529949""","=""9780374529949""",4,3.90,"Farrar, Straus and Giroux",Paperback,231,2005,1970,2025/12/29,2021/06/27,,,read,"<b>I know what ""nothing"" means, and keep on playing.</b><br/><br/>Didion writes like an artist. This book was a beautiful sample of the English language ... although also like a powerful drug. It feels so hallucinatory and at a loss with reality—but then again, perhaps art is supposed to show that alternative world to us. The characters are so dysfunctional and yet so capable of existence in their society. This is the type of book that reminds us that it's really never that deep .... that we should play it as it lays.",,,1,0
575020,The Body Artist,Don DeLillo,"DeLillo, Don",,"=""074320395X""","=""9780743203951""",3,3.29,Scribner,Hardcover,124,2001,2001,2025/12/26,2023/08/29,,,read,"<b>Is reality too powerful for you?</b><br/><br/>Pure mastery and tactile feeling in the language of this book. However ... this book definitely strayed further to the edges of art, perhaps stretched and contorted itself a bit too far. I feel like I can sense the vague pulsing idea behind it, but it really was an absolute fever dream to read. <br/><br/>--------------------------------------------------------<br/><i><br/>""The answer to life is the movies.""<br/><br/>Take the risk. Believe what you see and hear. It's the pulse of every secret intimation you've ever felt around the edges of your life.<br/><br/></i>",,,1,0
163977,Tortilla Flat,John Steinbeck,"Steinbeck, John",,"=""0582461502""","=""9780582461505""",0,3.83,Pearson Schools,Hardcover,256,2001,1935,,2020/12/29,currently-reading,currently-reading (#14),currently-reading,,,,1,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",0,4.33,Harmony,Hardcover,496,2023,2023,,2025/12/26,to-read,to-read (#328),to-read,,,,0,0
27150875,The Politics of Design: A (Not So) Global Design Manual for Visual Communication,Ruben Pater,"Pater, Ruben",,"=""9063694229""","=""9789063694227""",0,4.19,Laurence King Publishing,Paperback,192,2016,2016,,2025/12/25,to-read,to-read (#327),to-read,,,,0,0
6146530,The Last Supper: A Summer in Italy,Rachel Cusk,"Cusk, Rachel",,"=""0374184038""","=""9780374184032""",0,3.65,"Farrar, Straus and Giroux",Hardcover,256,2009,2009,,2025/12/20,to-read,to-read (#326),to-read,,,,0,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",3,4.51,Scholastic Press,Hardcover,387,2025,2025,2025/12/06,2025/12/06,,,read,"<b>Public opinion is driven by emotion. People have an emotional response to something, then they come up with an argument for why it logically makes sense.</b><br/><br/>an interesting examination of human psychology ... it pulls you in because Collins has such an astute understanding of how we are drawn to power and pain. <br/><br/>unfortunately not much substance at all and very two-dimensional but still a page-turner.",,,1,0
12555,The Bonesetter's Daughter,Amy Tan,"Tan, Amy",,"=""0345457374""","=""9780345457370""",4,4.00,Ballantine Books,Paperback,387,2003,2001,2025/12/01,2020/12/23,,,read,"beautiful story written in such a vivid real way. Tan has such a gift for pulling out details that so closely resemble life. this book resonated with me because of so many shared experiences, some parts were absolutely heart-wrenching. my attention span has been absolutely destroyed so I felt that this novel was a bit long, but I don't regret drudging through it.",,,1,0
